yourlist:M202107255BF3C56A578D7D6DFD1FC81EE5DA77300E96A39	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
K1M1_SHEEP	P02534	K1M1_SHEEP	reviewed	Keratin, type I microfibrillar 48 kDa, component 8C-1 (Low-sulfur keratin)		Ovis aries (Sheep)	412
K1M2_SHEEP	P25690	K1M2_SHEEP	reviewed	Keratin, type I microfibrillar, 47.6 kDa (Low-sulfur keratin)		Ovis aries (Sheep)	404
K22E_HUMAN	P35908	K22E_HUMAN	reviewed	Keratin, type II cytoskeletal 2 epidermal (Cytokeratin-2e) (CK-2e) (Epithelial keratin-2e) (Keratin-2 epidermis) (Keratin-2e) (K2e) (Type-II keratin Kb2)	KRT2 KRT2A KRT2E	Homo sapiens (Human)	639
K2C1_HUMAN	P04264	K2C1_HUMAN	reviewed	Keratin, type II cytoskeletal 1 (67 kDa cytokeratin) (Cytokeratin-1) (CK-1) (Hair alpha protein) (Keratin-1) (K1) (Type-II keratin Kb1)	KRT1 KRTA	Homo sapiens (Human)	644
K2M1_SHEEP	P02539	K2M1_SHEEP	reviewed	Keratin, type II microfibrillar (Low-sulfur keratin) (Fragment)		Ovis aries (Sheep)	109
K2M2_SHEEP	P15241	K2M2_SHEEP	reviewed	Keratin, type II microfibrillar, component 7C		Ovis aries (Sheep)	491
K2M3_SHEEP	P25691	K2M3_SHEEP	reviewed	Keratin, type II microfibrillar, component 5		Ovis aries (Sheep)	502
KRA33_SHEEP	P02444	KRA33_SHEEP	reviewed	Keratin, high sulfur matrix protein, IIIB3		Ovis aries (Sheep)	98
KRA34_SHEEP	P02445	KRA34_SHEEP	reviewed	Keratin, high sulfur matrix protein, IIIB4		Ovis aries (Sheep)	98
KRA3A_SHEEP	P02443	KRA3A_SHEEP	reviewed	Keratin, high-sulfur matrix protein, IIIA3A		Ovis aries (Sheep)	130
KRA3_SHEEP	P02441	KRA3_SHEEP	reviewed	Keratin, high-sulfur matrix protein, IIIA3		Ovis aries (Sheep)	131
KRA61_SHEEP	Q02958	KRA61_SHEEP	reviewed	Keratin-associated protein 6-1 (Keratin, glycine/tyrosine-rich of hair)	KRTAP6-1 KAP6-1	Ovis aries (Sheep)	83
KRB2A_SHEEP	P02438	KRB2A_SHEEP	reviewed	Keratin, high-sulfur matrix protein, B2A		Ovis aries (Sheep)	172
KRB2B_SHEEP	P02439	KRB2B_SHEEP	reviewed	Keratin, high-sulfur matrix protein, B2B		Ovis aries (Sheep)	156
KRB2C_SHEEP	P02440	KRB2C_SHEEP	reviewed	Keratin, high-sulfur matrix protein, B2C		Ovis aries (Sheep)	152
KRB2D_SHEEP	P08131	KRB2D_SHEEP	reviewed	Keratin, high-sulfur matrix protein, B2D		Ovis aries (Sheep)	182
KRHB1_HUMAN	Q14533	KRT81_HUMAN	reviewed	Keratin, type II cuticular Hb1 (Hair keratin K2.9) (Keratin, hair, basic, 1) (Keratin-81) (K81) (Metastatic lymph node 137 gene protein) (MLN 137) (Type II hair keratin Hb1) (Type-II keratin Kb21) (ghHKb1) (ghHb1)	KRT81 KRTHB1 MLN137	Homo sapiens (Human)	505
KRHB2_HUMAN	Q9NSB4	KRT82_HUMAN	reviewed	Keratin, type II cuticular Hb2 (Keratin-82) (K82) (Type II hair keratin Hb2) (Type-II keratin Kb22)	KRT82 KRTHB2	Homo sapiens (Human)	513
KRHB3_HUMAN	P78385	KRT83_HUMAN	reviewed	Keratin, type II cuticular Hb3 (Hair keratin K2.10) (Keratin-83) (K83) (Type II hair keratin Hb3) (Type-II keratin Kb23)	KRT83 KRTHB3	Homo sapiens (Human)	493
KRHB4_HUMAN	Q9NSB2	KRT84_HUMAN	reviewed	Keratin, type II cuticular Hb4 (Keratin-84) (K84) (Type II hair keratin Hb4) (Type-II keratin Kb24)	KRT84 KRTHB4	Homo sapiens (Human)	600
KRHB5_HUMAN	P78386	KRT85_HUMAN	reviewed	Keratin, type II cuticular Hb5 (Hair keratin K2.12) (Keratin-85) (K85) (Type II hair keratin Hb5) (Type-II keratin Kb25)	KRT85 KRTHB5	Homo sapiens (Human)	507
KRHB6_HUMAN	O43790	KRT86_HUMAN	reviewed	Keratin, type II cuticular Hb6 (Hair keratin K2.11) (Keratin-86) (K86) (Type II hair keratin Hb6) (Type-II keratin Kb26)	KRT86 KRTHB6	Homo sapiens (Human)	486
KRUC_SHEEP	P26372	KRUC_SHEEP	reviewed	Keratin, ultra high-sulfur matrix protein (UHS keratin)		Ovis aries (Sheep)	182
LALBA_BOVIN	P00711	LALBA_BOVIN	reviewed	Alpha-lactalbumin (Lactose synthase B protein) (allergen Bos d 4)	LALBA ALACTA	Bos taurus (Bovine)	142
LYSC_LYSEN	Q7M135	LYSC_LYSEN	reviewed	Lysyl endopeptidase (EC 3.4.21.50) (Lys-C)		Lysobacter enzymogenes	269
PEPA_BOVIN	P00792	PEPA_BOVIN	reviewed	Pepsin A (EC 3.4.23.1)	PGA	Bos taurus (Bovine)	372
PEPA_PIG	P00791	PEPA_PIG	reviewed	Pepsin A (EC 3.4.23.1)	PGA	Sus scrofa (Pig)	385
PEPB_PIG	Q10735	PEPB_PIG	reviewed	Pepsin B (EC 3.4.23.2) (Parapepsin I) (Fragment)	PGB	Sus scrofa (Pig)	67
PEPC_PIG	P30879	PEPC_PIG	reviewed	Gastricsin (EC 3.4.23.3) (Pepsinogen C) (Fragment)	PGC	Sus scrofa (Pig)	73
SSPA_STAAU	P0C1U8	SSPA_STAAU	reviewed	Glutamyl endopeptidase (EC 3.4.21.19) (Endoproteinase Glu-C) (Staphylococcal serine proteinase) (V8 protease) (V8 proteinase)	sspA	Staphylococcus aureus	336
TRY1_BOVIN	P00760	TRY1_BOVIN	reviewed	Cationic trypsin (EC 3.4.21.4) (Beta-trypsin) [Cleaved into: Alpha-trypsin chain 1; Alpha-trypsin chain 2]		Bos taurus (Bovine)	246
TRY2_BOVIN	Q29463	TRY2_BOVIN	reviewed	Anionic trypsin (EC 3.4.21.4)		Bos taurus (Bovine)	247
TRYP_PIG	P00761	TRYP_PIG	reviewed	Trypsin (EC 3.4.21.4)		Sus scrofa (Pig)	231
ALBU_HUMAN	P02768	ALBU_HUMAN	reviewed	Albumin	ALB GIG20 GIG42 PRO0903 PRO1708 PRO2044 PRO2619 PRO2675 UNQ696/PRO1341	Homo sapiens (Human)	609
ANT3_HUMAN	P01008	ANT3_HUMAN	reviewed	Antithrombin-III (ATIII) (Serpin C1)	SERPINC1 AT3 PRO0309	Homo sapiens (Human)	464
ANXA5_HUMAN	P08758	ANXA5_HUMAN	reviewed	Annexin A5 (Anchorin CII) (Annexin V) (Annexin-5) (Calphobindin I) (CBP-I) (Endonexin II) (Lipocortin V) (Placental anticoagulant protein 4) (PP4) (Placental anticoagulant protein I) (PAP-I) (Thromboplastin inhibitor) (Vascular anticoagulant-alpha) (VAC-alpha)	ANXA5 ANX5 ENX2 PP4	Homo sapiens (Human)	320
B2MG_HUMAN	P61769	B2MG_HUMAN	reviewed	Beta-2-microglobulin [Cleaved into: Beta-2-microglobulin form pI 5.3]	B2M CDABP0092 HDCMA22P	Homo sapiens (Human)	119
BID_HUMAN	P55957	BID_HUMAN	reviewed	BH3-interacting domain death agonist (p22 BID) (BID) [Cleaved into: BH3-interacting domain death agonist p15 (p15 BID); BH3-interacting domain death agonist p13 (p13 BID); BH3-interacting domain death agonist p11 (p11 BID)]	BID	Homo sapiens (Human)	195
CAH1_HUMAN	P00915	CAH1_HUMAN	reviewed	Carbonic anhydrase 1 (EC 4.2.1.1) (Carbonate dehydratase I) (Carbonic anhydrase B) (CAB) (Carbonic anhydrase I) (CA-I)	CA1	Homo sapiens (Human)	261
CAH2_HUMAN	P00918	CAH2_HUMAN	reviewed	Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase C) (CAC) (Carbonic anhydrase II) (CA-II)	CA2	Homo sapiens (Human)	260
CATA_HUMAN	P04040	CATA_HUMAN	reviewed	Catalase (EC 1.11.1.6)	CAT	Homo sapiens (Human)	527
CATD_HUMAN	P07339	CATD_HUMAN	reviewed	Cathepsin D (EC 3.4.23.5) [Cleaved into: Cathepsin D light chain; Cathepsin D heavy chain]	CTSD CPSD	Homo sapiens (Human)	412
CATG_HUMAN	P08311	CATG_HUMAN	reviewed	Cathepsin G (CG) (EC 3.4.21.20)	CTSG	Homo sapiens (Human)	255
CO5_HUMAN	P01031	CO5_HUMAN	reviewed	Complement C5 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 4) [Cleaved into: Complement C5 beta chain; Complement C5 alpha chain; C5a anaphylatoxin; Complement C5 alpha' chain]	C5 CPAMD4	Homo sapiens (Human)	1676
CRP_HUMAN	P02741	CRP_HUMAN	reviewed	C-reactive protein [Cleaved into: C-reactive protein(1-205)]	CRP PTX1	Homo sapiens (Human)	224
CYB5_HUMAN	P00167	CYB5_HUMAN	reviewed	Cytochrome b5 (Microsomal cytochrome b5 type A) (MCB5)	CYB5A CYB5	Homo sapiens (Human)	134
CYC_HUMAN	P99999	CYC_HUMAN	reviewed	Cytochrome c	CYCS CYC	Homo sapiens (Human)	105
EGF_HUMAN	P01133	EGF_HUMAN	reviewed	Pro-epidermal growth factor (EGF) [Cleaved into: Epidermal growth factor (Urogastrone)]	EGF	Homo sapiens (Human)	1207
FABPH_HUMAN	P05413	FABPH_HUMAN	reviewed	Fatty acid-binding protein, heart (Fatty acid-binding protein 3) (Heart-type fatty acid-binding protein) (H-FABP) (Mammary-derived growth inhibitor) (MDGI) (Muscle fatty acid-binding protein) (M-FABP)	FABP3 FABP11 MDGI	Homo sapiens (Human)	133
GELS_HUMAN	P06396	GELS_HUMAN	reviewed	Gelsolin (AGEL) (Actin-depolymerizing factor) (ADF) (Brevin)	GSN	Homo sapiens (Human)	782
GSTA1_HUMAN	P08263	GSTA1_HUMAN	reviewed	Glutathione S-transferase A1 (EC 2.5.1.18) (13-hydroperoxyoctadecadienoate peroxidase) (EC 1.11.1.-) (Androst-5-ene-3,17-dione isomerase) (EC 5.3.3.-) (GST HA subunit 1) (GST class-alpha member 1) (GST-epsilon) (GSTA1-1) (GTH1) [Cleaved into: Glutathione S-transferase A1, N-terminally processed]	GSTA1	Homo sapiens (Human)	222
GSTP1_HUMAN	P09211	GSTP1_HUMAN	reviewed	Glutathione S-transferase P (EC 2.5.1.18) (GST class-pi) (GSTP1-1)	GSTP1 FAEES3 GST3	Homo sapiens (Human)	210
HBA_HUMAN	P69905	HBA_HUMAN	reviewed	Hemoglobin subunit alpha (Alpha-globin) (Hemoglobin alpha chain)	HBA1; HBA2	Homo sapiens (Human)	142
HBB_HUMAN	P68871	HBB_HUMAN	reviewed	Hemoglobin subunit beta (Beta-globin) (Hemoglobin beta chain) [Cleaved into: LVV-hemorphin-7; Spinorphin]	HBB	Homo sapiens (Human)	147
IGF2_HUMAN	P01344	IGF2_HUMAN	reviewed	Insulin-like growth factor II (IGF-II) (Somatomedin-A) (T3M-11-derived growth factor) [Cleaved into: Insulin-like growth factor II; Insulin-like growth factor II Ala-25 Del; Preptin]	IGF2 PP1446	Homo sapiens (Human)	180
IL8_HUMAN	P10145	IL8_HUMAN	reviewed	Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8) (Emoctakin) (Granulocyte chemotactic protein 1) (GCP-1) (Monocyte-derived neutrophil chemotactic factor) (MDNCF) (Monocyte-derived neutrophil-activating peptide) (MONAP) (Neutrophil-activating protein 1) (NAP-1) (Protein 3-10C) (T-cell chemotactic factor) [Cleaved into: MDNCF-a (GCP/IL-8 protein IV) (IL8/NAP1 form I); Interleukin-8 ((Ala-IL-8)77) (GCP/IL-8 protein II) (IL-8(1-77)) (IL8/NAP1 form II) (MDNCF-b); IL-8(5-77); IL-8(6-77) ((Ser-IL-8)72) (GCP/IL-8 protein I) (IL8/NAP1 form III) (Lymphocyte-derived neutrophil-activating factor) (LYNAP) (MDNCF-c) (Neutrophil-activating factor) (NAF); IL-8(7-77) (GCP/IL-8 protein V) (IL8/NAP1 form IV); IL-8(8-77) (GCP/IL-8 protein VI) (IL8/NAP1 form V); IL-8(9-77) (GCP/IL-8 protein III) (IL8/NAP1 form VI)]	CXCL8 IL8	Homo sapiens (Human)	99
KCRM_HUMAN	P06732	KCRM_HUMAN	reviewed	Creatine kinase M-type (EC 2.7.3.2) (Creatine kinase M chain) (Creatine phosphokinase M-type) (CPK-M) (M-CK)	CKM CKMM	Homo sapiens (Human)	381
LALBA_HUMAN	P00709	LALBA_HUMAN	reviewed	Alpha-lactalbumin (Lactose synthase B protein) (Lysozyme-like protein 7)	LALBA LYZL7	Homo sapiens (Human)	142
LEP_HUMAN	P41159	LEP_HUMAN	reviewed	Leptin (Obese protein) (Obesity factor)	LEP OB OBS	Homo sapiens (Human)	167
LYSC_HUMAN	P61626	LYSC_HUMAN	reviewed	Lysozyme C (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase C)	LYZ LZM	Homo sapiens (Human)	148
MYG_HUMAN	P02144	MYG_HUMAN	reviewed	Myoglobin	MB	Homo sapiens (Human)	154
NEDD8_HUMAN	Q15843	NEDD8_HUMAN	reviewed	NEDD8 (Neddylin) (Neural precursor cell expressed developmentally down-regulated protein 8) (NEDD-8) (Ubiquitin-like protein Nedd8)	NEDD8	Homo sapiens (Human)	81
NQO1_HUMAN	P15559	NQO1_HUMAN	reviewed	NAD(P)H dehydrogenase [quinone] 1 (EC 1.6.5.2) (Azoreductase) (DT-diaphorase) (DTD) (Menadione reductase) (NAD(P)H:quinone oxidoreductase 1) (Phylloquinone reductase) (Quinone reductase 1) (QR1)	NQO1 DIA4 NMOR1	Homo sapiens (Human)	274
NQO2_HUMAN	P16083	NQO2_HUMAN	reviewed	Ribosyldihydronicotinamide dehydrogenase [quinone] (EC 1.10.5.1) (NRH dehydrogenase [quinone] 2) (NRH:quinone oxidoreductase 2) (Quinone reductase 2) (QR2)	NQO2 NMOR2	Homo sapiens (Human)	231
PDGFB_HUMAN	P01127	PDGFB_HUMAN	reviewed	Platelet-derived growth factor subunit B (PDGF subunit B) (PDGF-2) (Platelet-derived growth factor B chain) (Platelet-derived growth factor beta polypeptide) (Proto-oncogene c-Sis) (Becaplermin)	PDGFB PDGF2 SIS	Homo sapiens (Human)	241
PPIA_HUMAN	P62937	PPIA_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Cyclosporin A-binding protein) (Rotamase A) [Cleaved into: Peptidyl-prolyl cis-trans isomerase A, N-terminally processed]	PPIA CYPA	Homo sapiens (Human)	165
PRDX1_HUMAN	Q06830	PRDX1_HUMAN	reviewed	Peroxiredoxin-1 (EC 1.11.1.24) (Natural killer cell-enhancing factor A) (NKEF-A) (Proliferation-associated gene protein) (PAG) (Thioredoxin peroxidase 2) (Thioredoxin-dependent peroxide reductase 2) (Thioredoxin-dependent peroxiredoxin 1)	PRDX1 PAGA PAGB TDPX2	Homo sapiens (Human)	199
RASH_HUMAN	P01112	RASH_HUMAN	reviewed	GTPase HRas (EC 3.6.5.2) (H-Ras-1) (Ha-Ras) (Transforming protein p21) (c-H-ras) (p21ras) [Cleaved into: GTPase HRas, N-terminally processed]	HRAS HRAS1	Homo sapiens (Human)	189
RETBP_HUMAN	P02753	RET4_HUMAN	reviewed	Retinol-binding protein 4 (Plasma retinol-binding protein) (PRBP) (RBP) [Cleaved into: Plasma retinol-binding protein(1-182); Plasma retinol-binding protein(1-181); Plasma retinol-binding protein(1-179); Plasma retinol-binding protein(1-176)]	RBP4 PRO2222	Homo sapiens (Human)	201
SODC_HUMAN	P00441	SODC_HUMAN	reviewed	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1) (Superoxide dismutase 1) (hSod1)	SOD1	Homo sapiens (Human)	154
SUMO1_HUMAN	P63165	SUMO1_HUMAN	reviewed	Small ubiquitin-related modifier 1 (SUMO-1) (GAP-modifying protein 1) (GMP1) (SMT3 homolog 3) (Sentrin) (Ubiquitin-homology domain protein PIC1) (Ubiquitin-like protein SMT3C) (Smt3C) (Ubiquitin-like protein UBL1)	SUMO1 SMT3C SMT3H3 UBL1 OK/SW-cl.43	Homo sapiens (Human)	101
SYH_HUMAN	P12081	HARS1_HUMAN	reviewed	Histidine--tRNA ligase, cytoplasmic (EC 6.1.1.21) (Histidyl-tRNA synthetase) (HisRS)	HARS1 HARS HRS	Homo sapiens (Human)	509
TAU_HUMAN	P10636	TAU_HUMAN	reviewed	Microtubule-associated protein tau (Neurofibrillary tangle protein) (Paired helical filament-tau) (PHF-tau)	MAPT MAPTL MTBT1 TAU	Homo sapiens (Human)	758
THIO_HUMAN	P10599	THIO_HUMAN	reviewed	Thioredoxin (Trx) (ATL-derived factor) (ADF) (Surface-associated sulphydryl protein) (SASP) (allergen Hom s Trx)	TXN TRDX TRX TRX1	Homo sapiens (Human)	105
TNFA_HUMAN	P01375	TNFA_HUMAN	reviewed	Tumor necrosis factor (Cachectin) (TNF-alpha) (Tumor necrosis factor ligand superfamily member 2) (TNF-a) [Cleaved into: Tumor necrosis factor, membrane form (N-terminal fragment) (NTF); Intracellular domain 1 (ICD1); Intracellular domain 2 (ICD2); C-domain 1; C-domain 2; Tumor necrosis factor, soluble form]	TNF TNFA TNFSF2	Homo sapiens (Human)	233
TRFE_HUMAN	P02787	TRFE_HUMAN	reviewed	Serotransferrin (Transferrin) (Beta-1 metal-binding globulin) (Siderophilin)	TF PRO1400	Homo sapiens (Human)	698
TRFL_HUMAN	P02788	TRFL_HUMAN	reviewed	Lactotransferrin (Lactoferrin) (EC 3.4.21.-) (Growth-inhibiting protein 12) (Talalactoferrin) [Cleaved into: Lactoferricin-H (Lfcin-H); Kaliocin-1; Lactoferroxin-A; Lactoferroxin-B; Lactoferroxin-C]	LTF GIG12 LF	Homo sapiens (Human)	710
UB2E1_HUMAN	P51965	UB2E1_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 E1 (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme E1) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme E1) (UbcH6) (Ubiquitin carrier protein E1) (Ubiquitin-protein ligase E1)	UBE2E1 UBCH6	Homo sapiens (Human)	193
UBE2C_HUMAN	O00762	UBE2C_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 C (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme C) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme C) (UbcH10) (Ubiquitin carrier protein C) (Ubiquitin-protein ligase C)	UBE2C UBCH10	Homo sapiens (Human)	179
UBE2I_HUMAN	P63279	UBC9_HUMAN	reviewed	SUMO-conjugating enzyme UBC9 (EC 2.3.2.-) (RING-type E3 SUMO transferase UBC9) (SUMO-protein ligase) (Ubiquitin carrier protein 9) (Ubiquitin carrier protein I) (Ubiquitin-conjugating enzyme E2 I) (Ubiquitin-protein ligase I) (p18)	UBE2I UBC9 UBCE9	Homo sapiens (Human)	158
RS27A_HUMAN	P62979	RS27A_HUMAN	reviewed	Ubiquitin-40S ribosomal protein S27a (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; 40S ribosomal protein S27a (Small ribosomal subunit protein eS31)]	RPS27A UBA80 UBCEP1	Homo sapiens (Human)	156
GAG_SCVLA	P32503	GAG_SCVLA	reviewed	Major capsid protein (Gag protein) (Major coat protein)	gag	Saccharomyces cerevisiae virus L-A (ScV-L-A) (ScVL1)	680
CYC_HORSE	P00004	CYC_HORSE	reviewed	Cytochrome c	CYCS CYC	Equus caballus (Horse)	105
CAH2_BOVIN	P00921	CAH2_BOVIN	reviewed	Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase II) (CA-II)	CA2	Bos taurus (Bovine)	260
ADH1_YEAST	P00330	ADH1_YEAST	reviewed	Alcohol dehydrogenase 1 (EC 1.1.1.1) (Alcohol dehydrogenase I) (YADH-1)	ADH1 ADC1 YOL086C O0947	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	348
ALDOA_RABIT	P00883	ALDOA_RABIT	reviewed	Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Muscle-type aldolase)	ALDOA	Oryctolagus cuniculus (Rabbit)	364
LYSC_CHICK	P00698	LYSC_CHICK	reviewed	Lysozyme C (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase C) (Allergen Gal d IV) (allergen Gal d 4)	LYZ	Gallus gallus (Chicken)	147
MYG_HORSE	P68082	MYG_HORSE	reviewed	Myoglobin	MB	Equus caballus (Horse)	154
OVAL_CHICK	P01012	OVAL_CHICK	reviewed	Ovalbumin (Allergen Gal d II) (Egg albumin) (Plakalbumin) (allergen Gal d 2)	SERPINB14	Gallus gallus (Chicken)	386
BGAL_ECOLI	P00722	BGAL_ECOLI	reviewed	Beta-galactosidase (Beta-gal) (EC 3.2.1.23) (Lactase)	lacZ b0344 JW0335	Escherichia coli (strain K12)	1024
DHE3_BOVIN	P00366	DHE3_BOVIN	reviewed	Glutamate dehydrogenase 1, mitochondrial (GDH 1) (EC 1.4.1.3)	GLUD1 GLUD	Bos taurus (Bovine)	558
GFP_AEQVI	P42212	GFP_AEQVI	reviewed	Green fluorescent protein	GFP	Aequorea victoria (Water jellyfish) (Mesonema victoria)	238
SRPP_HEVBR	O82803	SRPP_HEVBR	reviewed	Small rubber particle protein (HbSRPP) (22 kDa rubber particle protein) (22 kDa RPP) (27 kDa natural rubber allergen) (Latex allergen Hev b 3) (allergen Hev b 3)	SRPP HEVB3	Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis)	204
REF_HEVBR	P15252	REF_HEVBR	reviewed	Rubber elongation factor protein (HbREF) (allergen Hev b 1)		Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis)	138
PLMP_GRIFR	P81054	PLMP_GRIFR	reviewed	Peptidyl-Lys metalloendopeptidase (MEP) (EC 3.4.24.20) (GfMEP)	MEP	Grifola frondosa (Maitake) (Polyporus frondosus)	348
KKA1_ECOLX	P00551	KKA1_ECOLX	reviewed	Aminoglycoside 3'-phosphotransferase (EC 2.7.1.95) (APH(3')-I) (APH(3')I) (Kanamycin kinase, type I) (Neomycin-kanamycin phosphotransferase type I)	aphA1 nptI	Escherichia coli	271
